Name;Surname;Mail;password
Esmeralda;Weatherwax;granny.weatherwax@lancres;{S7?U-4}FF 
Gytha;Ogg;nanny.ogg@lancres;chbPUB{C4] 
Agnes;Nitt;agnes.nitt@lancres;(_8:}3ORRI 
Tiffany;Aching;tiffany.aching@lancres;@f0)Ara19) 
Mortimer;Sto Helit;mortimer.sto-helit@sto-helit;S|)y:i50xa 
Ysabell;Sto Helit;ysabell.sto-helit@sto-helit;~v7U|&FmQD 
Susan;Sto Helit;susan.sto-helit@sto-helit;Q.PlsZ~e5: 
Havelock;Vetinari;patrician@ankh-morpork;~Mpzgr(6&~ 
Leonard;of Quirm;leonard.of-quirm@ankh-morpork;v~4%ztBE}a 
Samuel;Vimes;sam.vimes@night-watch;6a+w=TnP=| 
Carrot;Ironfoundersson;carrot.ironfoundersson@night-watch;I_tw7-AoJh 
Angua;von Uberwald;angua.von-uberwald@night-watch;[f1G[t]mY2
Fred;Colon;fred.colon@night-watch;}*M)]W}O0x 
Nobby;Nobbs;nobby.nobbs@night-watch;]*1d:uA@(u 
Mustrum;Ridcullus;mustrum.ridcullus@uu;yHuIPRkf*5 
Ponder;Stibbons;ponder.stibbons@uu;E[a4mW:jnA 
Sybil;Ramkin;sybil.ramkin@ankh-morpork;,Zs9Eip[MP 
